"date","fremont_bridge_nb","fremont_bridge_sb"
"2015-07-21T15:00:00.000","71","90"
"2015-07-28T17:00:00.000","219","517"
"2015-07-08T14:00:00.000","64","49"
"2015-07-29T12:00:00.000","48","54"
"2015-07-10T20:00:00.000","43","40"
"2015-07-27T09:00:00.000","155","109"
"2015-07-19T17:00:00.000","52","52"
"2015-07-06T15:00:00.000","54","84"
"2015-07-22T19:00:00.000","126","170"
"2015-07-01T12:00:00.000","56","59"
"2015-07-28T11:00:00.000","50","43"
"2015-07-09T01:00:00.000","3","3"
"2015-07-13T03:00:00.000","1","4"
"2015-07-03T07:00:00.000","55","35"
"2012-11-25T03:00:00.000","2","2"
"2015-07-05T01:00:00.000","15","15"
"2015-07-28T23:00:00.000","13","22"
"2015-07-23T08:00:00.000","362","186"
"2015-07-26T13:00:00.000","78","43"
"2015-07-22T02:00:00.000","2","1"
"2015-07-05T05:00:00.000","5","5"
"2015-07-14T00:00:00.000","3","13"
"2015-07-21T12:00:00.000","42","44"
"2015-07-03T05:00:00.000","11","8"
"2015-07-10T17:00:00.000","154","382"
"2015-07-07T01:00:00.000","3","2"
"2015-07-02T00:00:00.000","5","9"
"2012-11-25T16:00:00.000","44","44"
"2015-07-08T10:00:00.000","83","59"
"2015-07-31T20:00:00.000","43","87"
"2015-07-07T02:00:00.000","8","2"
"2015-07-16T01:00:00.000","5","9"
"2015-07-25T00:00:00.000","8","15"
"2015-07-28T13:00:00.000","57","65"
"2015-07-17T22:00:00.000","28","28"
"2015-07-28T03:00:00.000","3","5"
"2015-07-05T14:00:00.000","66","68"
"2012-11-26T02:00:00.000","0","0"
"2012-11-26T03:00:00.000","1","1"
"2015-07-15T11:00:00.000","64","47"
"2015-07-22T01:00:00.000","2","4"
"2015-07-21T22:00:00.000","23","18"
"2015-07-06T05:00:00.000","22","12"
"2015-07-01T09:00:00.000","160","101"
"2015-07-18T21:00:00.000","36","41"
"2015-07-12T15:00:00.000","116","76"
"2015-07-06T00:00:00.000","8","8"
"2015-07-29T23:00:00.000","15","30"
"2015-07-20T21:00:00.000","43","39"
"2015-07-03T12:00:00.000","100","86"
"2015-07-10T22:00:00.000","24","23"
"2015-07-10T14:00:00.000","59","73"
"2015-07-22T23:00:00.000","10","23"
"2015-07-12T07:00:00.000","21","16"
"2015-07-14T14:00:00.000","62","57"
"2015-07-31T23:00:00.000","38","22"
"2015-07-18T13:00:00.000","94","99"
"2015-07-08T16:00:00.000","143","256"
"2012-11-26T23:00:00.000","6","6"
"2015-07-28T01:00:00.000","3","7"
"2015-07-24T04:00:00.000","6","5"
"2015-07-29T20:00:00.000","64","98"
"2015-07-24T11:00:00.000","29","28"
"2015-07-29T06:00:00.000","127","70"
"2015-07-15T17:00:00.000","220","553"
"2015-07-14T05:00:00.000","28","17"
"2015-07-25T17:00:00.000","54","56"
"2015-07-02T12:00:00.000","59","45"
"2015-07-29T07:00:00.000","338","144"
"2015-07-20T18:00:00.000","161","336"
"2015-07-27T23:00:00.000","17","15"
"2015-07-23T17:00:00.000","218","469"
"2015-07-21T05:00:00.000","38","23"
"2015-07-31T02:00:00.000","1","6"
"2015-07-04T21:00:00.000","71","61"
"2015-07-14T18:00:00.000","172","340"
"2015-07-10T18:00:00.000","119","221"
"2015-07-08T06:00:00.000","145","52"
"2015-07-24T14:00:00.000","56","58"
"2015-07-30T14:00:00.000","46","65"
"2012-11-27T21:00:00.000","21","21"
"2015-07-21T14:00:00.000","44","54"
"2015-07-29T13:00:00.000","58","62"
"2015-07-18T15:00:00.000","104","84"
"2015-07-10T05:00:00.000","32","17"
"2015-07-29T18:00:00.000","183","348"
"2015-07-23T09:00:00.000","167","120"
"2015-07-31T15:00:00.000","84","98"
"2015-07-27T06:00:00.000","98","45"
"2015-07-25T16:00:00.000","51","60"
"2015-07-01T20:00:00.000","76","99"
"2015-07-29T10:00:00.000","69","74"
"2015-07-04T01:00:00.000","4","10"
"2015-07-03T11:00:00.000","104","72"
"2015-07-08T07:00:00.000","334","153"
"2015-07-03T04:00:00.000","4","3"
"2015-07-28T05:00:00.000","31","19"
"2015-07-04T05:00:00.000","7","5"
"2015-07-23T01:00:00.000","2","4"
